time_stamp,time,temperature_2m,surface_pressure,cloud_cover,windspeed_10m,shortwave_radiation,year
2020-01-01 00:00:00+00:00,2020-01-01T00:00,-0.8,945.4,99,14.2,0.0,2020
2020-01-01 01:00:00+00:00,2020-01-01T01:00,-1.3,945.3,88,16.2,0.0,2020
2020-01-01 02:00:00+00:00,2020-01-01T02:00,-1.7,945.3,60,16.9,0.0,2020
2020-01-01 03:00:00+00:00,2020-01-01T03:00,-2.5,945.0,87,15.8,0.0,2020
2020-01-01 04:00:00+00:00,2020-01-01T04:00,-2.2,944.9,86,15.7,0.0,2020
2020-01-01 05:00:00+00:00,2020-01-01T05:00,-2.3,944.7,60,16.5,0.0,2020
2020-01-01 06:00:00+00:00,2020-01-01T06:00,-2.7,944.5,60,16.3,0.0,2020
2020-01-01 07:00:00+00:00,2020-01-01T07:00,-2.9,944.9,99,17.0,0.0,2020
2020-01-01 08:00:00+00:00,2020-01-01T08:00,-2.8,945.2,97,17.9,0.0,2020
2020-01-01 09:00:00+00:00,2020-01-01T09:00,-2.8,945.0,96,17.9,0.0,2020
2020-01-01 10:00:00+00:00,2020-01-01T10:00,-2.7,945.0,100,18.3,0.0,2020
2020-01-01 11:00:00+00:00,2020-01-01T11:00,-2.8,945.2,100,18.2,0.0,2020
2020-01-01 12:00:00+00:00,2020-01-01T12:00,-2.9,946.5,89,17.4,0.0,2020
2020-01-01 13:00:00+00:00,2020-01-01T13:00,-3.6,947.0,37,17.3,5.0,2020
2020-01-01 14:00:00+00:00,2020-01-01T14:00,-2.6,947.7,81,15.9,85.0,2020
2020-01-01 15:00:00+00:00,2020-01-01T15:00,-1.7,948.5,96,18.8,154.0,2020
2020-01-01 16:00:00+00:00,2020-01-01T16:00,-1.0,948.5,98,26.3,158.0,2020
2020-01-01 17:00:00+00:00,2020-01-01T17:00,-0.7,948.0,98,25.2,138.0,2020
2020-01-01 18:00:00+00:00,2020-01-01T18:00,-0.6,948.0,99,23.5,155.0,2020
2020-01-01 19:00:00+00:00,2020-01-01T19:00,-0.7,948.6,97,22.4,181.0,2020
2020-01-01 20:00:00+00:00,2020-01-01T20:00,-0.7,948.8,100,20.7,155.0,2020
2020-01-01 21:00:00+00:00,2020-01-01T21:00,-1.5,949.6,80,19.8,57.0,2020
2020-01-01 22:00:00+00:00,2020-01-01T22:00,-2.4,950.4,98,19.8,7.0,2020
2020-01-01 23:00:00+00:00,2020-01-01T23:00,-2.3,951.0,94,17.3,0.0,2020
2020-01-02 00:00:00+00:00,2020-01-02T00:00,-2.9,952.1,80,13.0,0.0,2020
2020-01-02 01:00:00+00:00,2020-01-02T01:00,-2.7,952.5,59,14.8,0.0,2020
2020-01-02 02:00:00+00:00,2020-01-02T02:00,-3.0,952.6,25,14.8,0.0,2020
2020-01-02 03:00:00+00:00,2020-01-02T03:00,-3.6,952.6,22,13.9,0.0,2020
2020-01-02 04:00:00+00:00,2020-01-02T04:00,-3.9,952.5,12,13.0,0.0,2020
2020-01-02 05:00:00+00:00,2020-01-02T05:00,-4.3,952.4,5,13.3,0.0,2020
2020-01-02 06:00:00+00:00,2020-01-02T06:00,-4.4,952.5,47,13.2,0.0,2020
2020-01-02 07:00:00+00:00,2020-01-02T07:00,-4.5,952.3,50,13.2,0.0,2020
2020-01-02 08:00:00+00:00,2020-01-02T08:00,-4.5,952.8,94,13.6,0.0,2020
2020-01-02 09:00:00+00:00,2020-01-02T09:00,-4.0,952.8,71,14.2,0.0,2020
2020-01-02 10:00:00+00:00,2020-01-02T10:00,-3.7,953.0,94,15.0,0.0,2020
2020-01-02 11:00:00+00:00,2020-01-02T11:00,-3.1,952.9,70,14.8,0.0,2020
2020-01-02 12:00:00+00:00,2020-01-02T12:00,-2.2,953.1,57,16.1,0.0,2020
2020-01-02 13:00:00+00:00,2020-01-02T13:00,-1.9,953.2,78,16.5,5.0,2020
2020-01-02 14:00:00+00:00,2020-01-02T14:00,-0.3,953.3,26,18.0,78.0,2020
2020-01-02 15:00:00+00:00,2020-01-02T15:00,2.2,953.6,33,18.9,236.0,2020
2020-01-02 16:00:00+00:00,2020-01-02T16:00,4.0,953.3,0,18.8,334.0,2020
2020-01-02 17:00:00+00:00,2020-01-02T17:00,5.4,952.3,0,17.9,391.0,2020
2020-01-02 18:00:00+00:00,2020-01-02T18:00,6.7,951.7,0,17.4,404.0,2020
2020-01-02 19:00:00+00:00,2020-01-02T19:00,7.0,951.6,0,16.8,354.0,2020
2020-01-02 20:00:00+00:00,2020-01-02T20:00,6.3,951.2,83,16.9,256.0,2020
2020-01-02 21:00:00+00:00,2020-01-02T21:00,5.1,950.8,91,17.0,123.0,2020
2020-01-02 22:00:00+00:00,2020-01-02T22:00,4.0,950.7,96,18.7,11.0,2020
2020-01-02 23:00:00+00:00,2020-01-02T23:00,3.5,950.8,100,19.0,0.0,2020
2020-01-03 00:00:00+00:00,2020-01-03T00:00,3.3,951.1,99,20.3,0.0,2020
2020-01-03 01:00:00+00:00,2020-01-03T01:00,3.0,951.5,100,20.3,0.0,2020
2020-01-03 02:00:00+00:00,2020-01-03T02:00,3.1,951.6,100,19.0,0.0,2020
2020-01-03 03:00:00+00:00,2020-01-03T03:00,2.6,951.6,93,18.8,0.0,2020
2020-01-03 04:00:00+00:00,2020-01-03T04:00,2.3,951.1,100,17.2,0.0,2020
2020-01-03 05:00:00+00:00,2020-01-03T05:00,2.1,951.0,100,17.1,0.0,2020
2020-01-03 06:00:00+00:00,2020-01-03T06:00,2.2,951.3,98,16.1,0.0,2020
2020-01-03 07:00:00+00:00,2020-01-03T07:00,2.1,951.6,100,15.1,0.0,2020
2020-01-03 08:00:00+00:00,2020-01-03T08:00,2.2,951.4,100,14.2,0.0,2020
2020-01-03 09:00:00+00:00,2020-01-03T09:00,2.3,951.3,100,13.7,0.0,2020
2020-01-03 10:00:00+00:00,2020-01-03T10:00,2.3,950.9,100,12.6,0.0,2020
2020-01-03 11:00:00+00:00,2020-01-03T11:00,2.1,951.0,100,12.6,0.0,2020
2020-01-03 12:00:00+00:00,2020-01-03T12:00,2.2,951.2,100,11.3,0.0,2020
2020-01-03 13:00:00+00:00,2020-01-03T13:00,1.8,951.2,100,11.3,4.0,2020
2020-01-03 14:00:00+00:00,2020-01-03T14:00,3.3,952.1,100,10.0,51.0,2020
2020-01-03 15:00:00+00:00,2020-01-03T15:00,4.2,952.7,100,11.4,80.0,2020
2020-01-03 16:00:00+00:00,2020-01-03T16:00,4.6,952.2,100,11.3,91.0,2020
2020-01-03 17:00:00+00:00,2020-01-03T17:00,4.8,951.5,100,11.5,105.0,2020
2020-01-03 18:00:00+00:00,2020-01-03T18:00,4.8,951.0,100,11.5,84.0,2020
